PassengerId,Survived
1252,0
1062,0
1116,1
1250,0
1201,1
1200,0
1042,0
902,0
913,0
1153,0
1241,1
951,1
1298,1
1090,1
1244,0
968,0
1268,0
1056,0
904,0
1080,0
1238,0
929,0
1276,1
946,0
1037,0
1179,0
1091,0
1146,0
1270,0
1202,1
1267,0
1131,0
982,1
907,0
1302,1
1231,0
1194,0
1033,0
966,0
1141,0
1253,0
970,0
1174,0
1259,0
1193,0
1045,0
1111,1
1280,0
952,0
1221,1
1309,0
898,0
893,0
1204,1
1036,0
1164,0
1163,0
1024,1
1127,0
1178,0
1082,0
957,0
1071,0
1016,0
1026,0
1078,0
941,0
944,0
918,0
937,0
1027,1
896,0
1112,1
1263,0
1014,0
1122,0
897,1
1068,1
1203,1
992,0
899,0
914,0
960,0
1220,0
